product,gasprijs_per_m3,prijs_per_Kw,vastrecht_gas,vastrecht_elektriciteit,naam
 Vaste Prijs Stroom en Gas tot 1 jr. Vast Actie,0.2396,0.04190000000000001,45.01,39.06,Nuon 
 EcoStroom + AardGas Voordeel 1 jaar Vast Actie,0.3157,0.0536,41.52,41.52,Eneco 
 Groene Stroom en Gas Budget 1 jr Actie Vast,0.25239999999999996,0.038599999999999995,61.08,55.08,Oxxio 
 Nederlandse Wind en Gas 1 jr Actie Vast,0.25239999999999996,0.038599999999999995,64.08,58.08,Oxxio 
 Vaste Prijs Stroom en Gas tot 1 jr. Vast Actie,0.2396,0.04190000000000001,45.01,39.06,Nuon 
 Groene Stroom en Gas Vast 1 jr. Actie,0.1906,0.0366,81.02,81.02,Nederlandse Energie Maatschappij 
 Stroom en Gas Groenmix Vast,0.1936,0.0351,34.85,34.85,Greenchoice 
 Gas + Elektriciteit Helder Groen 1 Jr Vast actie,0.26530000000000004,0.0513,37.5,37.5,ENGIE 
 Standaard Stroom en Gas Vast 1jr. Actie,0.2675,0.048600000000000004,36.0,36.0,DELTA 
 Pure Stroom en Gas vast 1 jaar Actie,0.2257,0.0444,29.04,29.04,Pure Energie 
 Groene stroom en Gas Vast 1 jaar Actie,0.2452,0.0452,47.88,47.88,E.ON 
